Date,Monthly_Mean_Total_Sunspot_Number
31/01/2019,7
28/02/2019,1
31/03/2019,9
30/04/2019,9
31/05/2019,10
30/06/2019,1
31/07/2019,1
31/08/2019,1
30/09/2019,1
31/10/2019,1
30/11/2019,1
31/12/2019,1
31/01/2020,6
29/02/2020,1
31/03/2020,1
30/04/2020,5
31/05/2020,1
30/06/2020,6
31/07/2020,6
31/08/2020,7
30/09/2020,1
31/10/2020,14
30/11/2020,34
31/12/2020,21
